timestamp,ping_google.com [ms]
1503860583,21.5
1503861783,27.0
1503862983,19.3
1503864183,22.4
1503865383,22.6
1503866583,18.9
1503867783,25.3
1503868983,23.4
1503870184,20.0
1503871383,24.4
1503872583,19.3
1503873783,24.5
1503874983,17.6
1503876183,23.8
1503877383,22.9
1503878583,19.3
1503879783,22.9
1503880983,21.3
1503882184,29.3
1503883383,22.3
1503884583,23.6
1503885783,22.1
1503886983,26.8
1503888183,21.8
1503889383,29.0
1503890583,23.5
1503891783,16.6
1503892983,26.5
1503894183,41.1
1503895383,25.8
1503896583,18.2
1503897783,28.4
1503898983,19.5
1503900184,20.7
1503901384,26.5
1503902583,19.2
1503903783,20.2
1503904983,22.3
1503906183,22.0
1503907383,21.3
1503908583,20.8
1503909783,19.1
1503910983,18.1
1503912183,44.8
1503913383,24.5
1503914583,31.8
1503915783,21.1
1503916983,23.1
1503918183,18.2
1503919383,23.5
1503920583,29.4
1503921783,27.6
1503922983,25.7
1503924183,25.3
1503925383,17.3
1503926583,18.8
1503927783,23.1
1503928983,23.6
1503930183,17.6
1503931383,23.5
1503932583,20.2
1503933783,21.0
1503934983,29.0
1503936183,41.8
1503937383,24.3
1503938583,19.2
1503939783,23.2
1503940983,24.7
1503942184,25.0
1503943383,25.7
1503944583,18.3
1503945783,19.1
1503946983,33.9
1503948183,19.2
1503949383,22.6
1503950583,22.3
1503951783,24.9
1503952983,27.1
1503954183,26.9
1503955383,24.9
1503956583,29.5
1503957783,23.6
1503958983,20.4
1503960183,27.0
1503961383,16.4
1503962583,20.2
1503963783,22.4
1503964983,26.8
1503966183,19.2
1503967383,23.8
1503968583,20.7
1503969783,25.1
1503970983,17.7
1503972183,20.5
1503973383,27.6
1503974583,28.6
1503975783,22.9
1503976983,18.7
1503978183,18.5
1503979383,22.1
1503980583,26.6
1503981783,24.0
1503982983,37.9
1503984183,19.4
1503985383,20.7
1503986583,18.9
1503987783,22.7
1503988983,25.7
1503990183,19.9
1503991383,18.9
1503992583,38.7
1503993783,24.3
1503994983,34.3
1503996183,129.0
1503997383,32.9
1503998583,24.3
1503999783,19.0
1504000983,29.1
1504002183,28.9
1504003383,23.5
1504004583,28.1
1504005784,33.1
1504006983,37.1
1504008184,18.7
1504009383,29.1
1504010583,28.4
1504011783,18.6
1504012983,22.1
1504014183,27.5
1504015383,18.6
1504016583,20.0
1504017783,27.5
1504018983,21.8
1504020183,19.1
1504021383,19.1
1504022583,18.3
1504023783,28.8
1504024983,21.8
1504026183,24.4
1504027383,35.2
1504028583,23.1
1504029784,30.5
1504030983,25.3
1504032183,28.8
