timestamp,dl_speed_10MB [MB/s]
1502973483,None
1503491883,0.63982699990176
1503535083,0.8085488221296072
1503545883,1.299139430518253
1503556683,2.7675483931204288
1503567483,1.1715154786645736
1503578283,2.6990996767557243
1503589083,2.9966737474683014
1503599884,0.9927283069971314
1503610683,0.6030158845357447
1503621483,2.7032996298281886
1503632283,3.089259502780169
1503643083,2.810014261430164
1503653883,2.9254171730326495
1503664683,1.5809023946447702
1503675483,1.6032861543683705
1503686283,2.8977716894131706
1503697083,0.892199748577019
1503707883,2.6725760682743354
1503718683,2.9233374427153813
1503729483,2.7574429456454954
1503740283,2.761964980506313
1503751083,2.954318168979541
1503761883,2.4202778501481115
1503772683,2.5574684434072767
1503783483,2.6572391563009226
1503794283,2.9211672818154497
1503805083,2.6780761211906983
1503815883,2.597328351580193
1503826683,2.4915632184481598
1503837483,2.6158608592611072
1503848283,2.216065287715989
1503859083,2.4042140053944725
1503869883,2.029688699581147
1503880683,2.349741715211777
1503891483,1.2594053707433892
1503902283,2.4333368277864835
1503913083,2.936122199913169
1503923883,1.651087576092536
1503934683,2.748990766184018
1503945483,1.0155279530926917
1503956283,2.1949665121788784
1503967083,1.833108006465149
1503977883,1.9989275963598898
