timestamp,dl_speed_10MB [MB/s]
1503482883,0.5433732519197926
1503486483,0.7161046022895794
1503490083,0.5862850988647693
1503526083,2.4831224736548494
1503529683,0.8455247526061804
1503533283,0.5222288841491053
1503536883,0.6974570470598397
1503540483,0.7684538305214921
1503544084,None
1503547683,1.2164067044382778
1503551283,2.555609106667926
1503554883,1.086570349903401
1503558483,1.02125644542273
1503562083,1.9687685072066303
1503565683,2.0461904003646776
1503569283,3.025913912712246
1503572883,2.8870228231040627
1503576483,1.016306859780051
1503580083,1.6812116609111185
1503583683,2.585714954157438
1503587283,2.787996663154781
1503590883,1.7096936927065856
1503594483,2.331037459346658
1503598083,2.5036123361480915
1503601683,1.2246129478746857
1503605283,1.4307706440651764
1503608883,1.4055861734124997
