timestamp,router_temp [deg C]
1503641283,24.687
1503644883,24.562
1503648483,24.75
1503652083,25.25
1503655683,25.125
1503659283,25.562
1503662883,25.75
1503666483,26.187
1503670083,26.375
1503673683,26.312
1503677283,26.75
1503680883,26.062
1503684483,25.25
1503688083,24.687
1503691683,23.187
1503695283,23.625
1503698883,25.0
1503702483,24.937
1503706084,24.937
1503709683,24.937
1503713283,24.875
1503716883,24.75
1503720483,24.625
1503724083,24.5
1503727684,24.375
1503731283,21.562
1503734883,20.312
1503738483,23.5
1503742083,24.875
1503745683,25.687
1503749283,26.437
1503752883,27.937
1503756483,28.25
1503760083,28.5
1503763683,29.125
1503767283,29.312
1503770883,29.5
1503774483,29.687
1503778083,28.625
1503781683,25.875
1503785283,26.625
1503788883,26.312
1503792483,25.937
1503796083,25.5
1503799683,25.187
1503803283,24.687
1503806883,24.312
1503810483,24.0
1503814083,23.625
1503817683,23.312
1503821283,23.437
1503824883,24.625
1503828483,25.875
1503832083,27.125
1503835683,28.062
1503839283,28.812
1503842883,29.125
1503846483,29.312
1503850083,29.562
1503853683,29.875
1503857283,30.125
1503860883,30.312
1503864483,30.25
1503868083,30.125
1503871683,29.875
1503875283,29.875
1503878883,29.687
1503882483,29.375
1503886083,29.125
1503889683,28.812
1503893283,28.5
1503896883,28.25
1503900483,27.937
1503904083,27.687
1503907683,27.5
1503911283,28.625
1503914883,28.687
1503918483,29.062
1503922083,29.0
1503925683,31.25
1503929283,31.937
1503932883,32.312
1503936483,31.75
1503940083,31.875
1503943683,32.062
1503947283,32.125
1503950883,30.625
1503954483,28.312
1503958083,29.875
1503961683,29.562
1503965283,29.312
1503968883,28.875
1503972483,28.625
1503976083,28.25
1503979683,27.75
1503983283,27.125
1503986883,27.187
1503990483,27.062
1503994083,27.375
1503997683,28.25
1504001283,28.562
1504004883,29.25
1504008483,30.937
1504012083,32.625
1504015683,32.875
1504019283,32.687
1504022883,29.375
1504026483,31.812
1504030083,31.562
1504033683,31.25
1504037283,29.125
1504040883,28.312
1504044483,29.25
1504048083,28.875
1504051683,28.562
1504055283,28.125
1504058883,27.75
1504062483,27.187
1504066083,26.75
1504069683,26.375
1504073284,26.562
1504076883,26.5
1504080483,26.625
1504084083,26.875
1504087683,26.875
1504091283,26.937
1504094883,27.062
1504098484,27.187
1504102083,27.562
1504105683,28.062
1504109283,28.5
1504112883,27.625
1504116483,26.687
1504120084,27.625
1504123683,24.75
1504127283,25.687
1504130883,25.625
1504134483,25.187
1504138083,24.875
1504141683,24.562
1504145283,24.187
1504148883,23.937
1504152483,23.687
1504156083,23.375
1504159683,24.0
1504163283,24.187
1504166883,24.5
1504170483,25.187
1504174083,25.062
1504177683,25.875
1504181283,26.937
1504184883,28.125
1504188483,27.937
1504192083,27.625
1504195683,27.875
1504199283,28.062
1504202883,28.312
1504206483,28.437
1504210083,25.562
1504213683,24.375
1504217283,25.812
1504220883,25.812
1504224483,25.687
1504228083,25.437
1504231683,25.187
1504235283,24.937
1504238883,24.625
1504242483,24.312
