timestamp,router_temp [deg C]
1503647463,24.687
1503647763,24.687
1503648063,24.687
1503648363,24.75
1503648663,24.75
1503648963,24.75
1503649263,24.75
1503649563,24.812
1503649863,24.812
1503650163,24.875
1503650463,24.937
1503650763,25.0
1503651063,25.062
1503651363,25.125
1503651664,25.187
1503651963,25.187
1503652263,25.312
1503652563,25.312
1503652863,25.375
1503653163,25.437
1503653463,25.562
1503653763,25.562
1503654063,25.625
1503654363,25.562
1503654663,25.187
1503654963,25.125
1503655263,25.125
1503655563,25.125
1503655863,25.062
1503656163,25.062
1503656463,25.062
1503656763,25.062
1503657063,25.125
1503657364,25.125
1503657663,25.187
1503657963,25.25
1503658263,25.312
1503658563,25.375
1503658863,25.437
1503659163,25.5
1503659463,25.625
1503659763,25.687
1503660063,25.812
1503660363,25.812
1503660663,25.875
1503660963,25.937
1503661263,26.0
1503661563,26.062
1503661863,25.562
1503662163,25.75
1503662463,25.437
1503662763,25.75
1503663063,25.75
1503663363,25.75
1503663663,26.0
1503663963,26.062
1503664263,26.062
1503664563,25.687
1503664863,25.562
1503665163,25.875
1503665463,26.125
1503665763,26.062
1503666063,26.062
1503666363,26.25
1503666663,26.25
1503666963,26.5
1503667263,26.437
1503667563,25.812
1503667863,26.312
1503668163,25.875
1503668464,26.312
1503668763,26.312
1503669063,26.437
1503669363,26.5
1503669663,26.437
1503669963,26.312
1503670263,26.25
1503670563,26.125
1503670863,26.187
1503671163,26.187
1503671463,26.375
1503671763,26.375
1503672063,26.375
1503672363,26.312
1503672663,26.312
1503672963,26.312
1503673263,26.312
1503673563,26.312
1503673863,26.312
1503674163,26.75
1503674463,27.125
1503674763,27.312
1503675063,27.437
1503675363,27.5
1503675663,27.687
1503675963,27.75
1503676263,27.875
1503676563,28.0
1503676863,28.062
1503677163,26.875
1503677463,26.875
1503677763,26.75
1503678063,26.625
1503678363,26.625
1503678663,26.375
1503678963,26.312
1503679264,26.25
1503679563,26.312
1503679863,26.125
1503680163,26.125
1503680463,25.937
1503680763,25.937
1503681063,26.062
1503681363,25.625
1503681663,25.812
1503681963,25.875
1503682263,26.0
1503682563,25.812
1503682863,25.687
1503683163,25.687
1503683463,25.687
1503683763,25.75
1503684063,25.562
1503684363,25.375
1503684663,25.312
1503684963,25.312
1503685263,25.312
1503685563,25.25
1503685863,25.187
1503686163,25.125
1503686463,25.062
1503686764,25.0
1503687063,24.875
1503687363,24.875
1503687663,24.875
1503687963,24.687
1503688263,24.562
1503688563,24.375
1503688863,24.375
1503689163,24.25
1503689463,24.187
1503689763,24.062
1503690063,23.937
1503690363,23.75
